;neg;pos;neu;compound;Ticker;;;;;
0;0,067806209;0,086731046;0,845462854;0,122817734;2001-01;;;;;
0;0,065812394;0,087663791;0,846523937;0,129616379;2001-2;;;;;
0;0,069880486;0,080655046;0,849464023;0,090295244;2001-3;;;;;
0;0,069345244;0,084647132;0,84600899;0,111680143;2001-4;;;;;
0;0,070758006;0,084532283;0,844706291;0,097918188;2001-5;;;;;
0;0,06995974;0,081034726;0,849002821;0,084615887;2001-6;;;;;
0;0,065877236;0,084672775;0,849457055;0,109060709;2001-7;;;;;
0;0,06587595;0,080875624;0,853024094;0,081105405;2001-8;;;;;
0;0,09439865;0,082586796;0,822807003;-0,028656982;2001-9;;;;;
0;0,094824253;0,082651161;0,822523013;-0,036778049;2001-10;;;;;
0;0,08459729;0,084042205;0,831252715;0,023239681;2001-11;;;;;
0;0,079439223;0,088591346;0,831969121;0,049107694;2001-12;;;;;
0;0,075997376;0,084987209;0,838684049;0,060847764;2002-1;;;;;
0;0,073292209;0,087592853;0,839113181;0,068320105;2002-2;;;;;
0;0,07696922;0,085414064;0,837390025;0,059155695;2002-3;;;;;
0;0,077148738;0,07549058;0,84735569;-0,001686652;2002-4;;;;;
0;0,072137473;0,083861663;0,843993089;0,064342721;2002-5;;;;;
0;0,074552978;0,083489318;0,841848727;0,049374666;2002-6;;;;;
0;0,075383333;0,083622261;0,840992774;0,052319196;2002-7;;;;;
0;0,074083186;0,084607046;0,841307765;0,058457559;2002-8;;;;;
0;0,077823555;0,082592321;0,839581967;0,039940207;2002-9;;;;;
0;0,077330897;0,084116133;0,838451766;0,045047617;2002-10;;;;;
0;0,073074602;0,086123204;0,840802084;0,077149172;2002-11;;;;;
0;0,0746284;0,086962316;0,838299508;0,075704151;2002-12;;;;;
0;0,075255617;0,0876798;0,837070552;0,075105177;2003-1;;;;;
0;0,082101825;0,085684529;0,832208532;0,026090271;2003-2;;;;;
0;0,090381835;0,082772066;0,826641409;-0,030772988;2003-3;;;;;
0;0,085987274;0,083318255;0,830689338;0,001202813;2003-4;;;;;
0;0,07580463;0,084145353;0,84004674;0,044813694;2003-5;;;;;
0;0,070328355;0,087339147;0,842321923;0,094740685;2003-6;;;;;
0;0,073033147;0,085743114;0,841110177;0,080486578;2003-7;;;;;
0;0,07510539;0,083582002;0,84130893;0,061906206;2003-8;;;;;
0;0,073057744;0,081891759;0,845044302;0,062836634;2003-9;;;;;
0;0,07200163;0,08353216;0,844249565;0,069253879;2003-10;;;;;
0;0,071286916;0,082600841;0,846108368;0,076053963;2003-11;;;;;
0;0,07354876;0,084248085;0,842202584;0,071944049;2003-12;;;;;
0;0,071428604;0,085741544;0,842830533;0,09123454;2004-1;;;;;
0;0,070669829;0,085302857;0,843916343;0,079528149;2004-2;;;;;
0;0,075225128;0,082121634;0,842653684;0,060371945;2004-3;;;;;
0;0,072948938;0,081261181;0,845784364;0,056351849;2004-4;;;;;
0;0,07580672;0,081875379;0,842315092;0,041830666;2004-5;;;;;
0;0,072432195;0,082954836;0,844619014;0,06539821;2004-6;;;;;
0;0,068702047;0,082798758;0,848503565;0,078609729;2004-7;;;;;
0;0,069062543;0,084975927;0,845737733;0,078207084;2004-8;;;;;
0;0,072822582;0,077875698;0,848975687;0,042883737;2004-9;;;;;
0;0,070360243;0,083092497;0,846365484;0,077006822;2004-10;;;;;
0;0,067286318;0,084850728;0,84752473;0,09770409;2004-11;;;;;
0;0,067341735;0,086416258;0,84624168;0,103821047;2004-12;;;;;
0;0,073324785;0,087180373;0,839497303;0,081277572;2005-1;;;;;
